utterance,intent,entity_type,entity_value,start_offset,end_offset,category,tags
how can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,26,41,ORDER,BIL
can you help me canceling purchase 00004587345?,cancel_order,order_id,00004587345,35,46,ORDER,BIL
i want assistance to cancel purchase 732201349959,cancel_order,order_id,732201349959,37,49,ORDER,BLQ
i want assistance to cancel order 732201349959,cancel_order,order_id,732201349959,34,46,ORDER,BQ
"I don't want my last item, help me cancel order 370795561790",cancel_order,order_id,370795561790,48,60,ORDER,BCLN
I can no longer pay for purchase 00004587345,cancel_order,order_id,00004587345,33,44,ORDER,BLN
I need assistance cancelling purchase 732201349959,cancel_order,order_id,732201349959,38,50,ORDER,BL
is it possible to cancel order 113542617735902?,cancel_order,order_id,113542617735902,31,46,ORDER,BI
assistance cancelling purchase 00123842,cancel_order,order_id,00123842,31,39,ORDER,BL
i can no longer pay for purchase 113542617735902,cancel_order,order_id,113542617735902,33,48,ORDER,BLNQ
how tocancel purchase 00004587345,cancel_order,order_id,00004587345,22,33,ORDER,BILQZ
i need assistance cancelling order 00123842,cancel_order,order_id,00123842,35,43,ORDER,BQ
problems with cancelling purchase 00123842,cancel_order,order_id,00123842,34,42,ORDER,BLM
need to cancel order 00004587345,cancel_order,order_id,00004587345,21,32,ORDER,BQ
I have got to cancel purchase 732201349959,cancel_order,order_id,732201349959,30,42,ORDER,BL
"I can't afford this order, cancel purchase 732201349959",cancel_order,order_id,732201349959,43,55,ORDER,BCLN
what do I need to do to cancel order 370795561790?,cancel_order,order_id,370795561790,37,49,ORDER,BI
"I do not want this item, where to cancel order 370795561790?",cancel_order,order_id,370795561790,47,59,ORDER,BCEILN
can you help me canceling purchase 00123842 ?,cancel_order,order_id,00123842,35,43,ORDER,BILZ
"I can no longer afford purchase 00004587345, cancel it",cancel_order,order_id,00004587345,32,43,ORDER,BCLN
i bought something cancel purchase 370795561790,cancel_order,order_id,370795561790,35,47,ORDER,BCQ
i want help cancelling purchase 732201349959,cancel_order,order_id,732201349959,32,44,ORDER,BLQ
i want help canceling purchase 00004587345,cancel_order,order_id,00004587345,31,42,ORDER,BLQ
canceling order 732201349959,cancel_order,order_id,732201349959,16,28,ORDER,BK
I need help with cancdling purchase 00004587345,cancel_order,order_id,00004587345,36,47,ORDER,BLZ
i want help to cancel purchase  113542617735902,cancel_order,order_id,113542617735902,32,47,ORDER,BLQZ
canceling order 113542617735902,cancel_order,order_id,113542617735902,16,31,ORDER,BK
I need assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,38,50,ORDER,BL
i want assistance canceloing purchase 00123842,cancel_order,order_id,00123842,38,46,ORDER,BLQZ
want assistnace to cancel order 370795561790,cancel_order,order_id,370795561790,32,44,ORDER,BQZ
I would like to cancel purchase 113542617735902,cancel_order,order_id,113542617735902,32,47,ORDER,BLP
cancel ordedr 370795561790,cancel_order,order_id,370795561790,14,26,ORDER,BKZ
cancel purchase 370795561790,cancel_order,order_id,370795561790,16,28,ORDER,BKL
"I want to cancel purchase 00123842, how could I do it?",cancel_order,order_id,00123842,26,34,ORDER,BCILP
I need assistance canceling purchase 732201349959,cancel_order,order_id,732201349959,37,49,ORDER,BL
i need assistance canceling order 00123842,cancel_order,order_id,00123842,34,42,ORDER,BQ
cancelo purchase 370795561790,cancel_order,order_id,370795561790,17,29,ORDER,BKLZ
question about canceling purchase 00004587345,cancel_order,order_id,00004587345,34,45,ORDER,BL
where can I cancel purchase 00123842?,cancel_order,order_id,00123842,28,36,ORDER,BIL
problems with canceling purchase 113542617735902,cancel_order,order_id,113542617735902,33,48,ORDER,BLM
I don't want order 113542617735902,cancel_order,order_id,113542617735902,19,34,ORDER,BN
I can no longer afford order 732201349959,cancel_order,order_id,732201349959,29,41,ORDER,BLN
where can I cancel purchase 113542617735902?,cancel_order,order_id,113542617735902,28,43,ORDER,BIL
help to cancel purchase 732201349959,cancel_order,order_id,732201349959,24,36,ORDER,BL
i have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41,49,ORDER,BLMQ
where can I cancel order 732201349959 ?,cancel_order,order_id,732201349959,25,37,ORDER,BIZ
I need assistance with cancelling purchase 00123842,cancel_order,order_id,00123842,43,51,ORDER,BL
I have problems with cancelling purchase 00123842,cancel_order,order_id,00123842,41,49,ORDER,BLM
can uhlep me cancelling purchase 732201349959,cancel_order,order_id,732201349959,33,45,ORDER,BILQZ
where could  i cancel purchase 370795561790,cancel_order,order_id,370795561790,31,43,ORDER,BILPQZ
could you help me cancelling purchase 732201349959?,cancel_order,order_id,732201349959,38,50,ORDER,BILP
I have a problem with cancelling order 00123842,cancel_order,order_id,00123842,39,47,ORDER,B
question about cancelling purchase 732201349959,cancel_order,order_id,732201349959,35,47,ORDER,BL
I do not know what to do to cancel order 113542617735902,cancel_order,order_id,113542617735902,41,56,ORDER,BE
want assistance cancelling purchase 370795561790,cancel_order,order_id,370795561790,36,48,ORDER,BLQ
i need assistance with canceling puchase 00004587345,cancel_order,order_id,00004587345,41,52,ORDER,BLQZ
i dont want this article cancel order 732201349959,cancel_order,order_id,732201349959,38,50,ORDER,BCLNQ
i dont want order 732201349959 i need help canceling it,cancel_order,order_id,732201349959,18,30,ORDER,BCNQ
I need help cancelling order 370795561790,cancel_order,order_id,370795561790,29,41,ORDER,B
i ordered some article how do i cancel purchase 00004587345,cancel_order,order_id,00004587345,48,59,ORDER,BCILQ
help with cancelling purchase 113542617735902,cancel_order,order_id,113542617735902,30,45,ORDER,BL
i can no longer afford order 732201349959,cancel_order,order_id,732201349959,29,41,ORDER,BLNQ
I want assistance cfancelling purchase 370795561790,cancel_order,order_id,370795561790,39,51,ORDER,BLZ
where to cancel purchase 00004587345?,cancel_order,order_id,00004587345,25,36,ORDER,BIL
